sentence,label
Describes headache and headache occurring mostly in the afternoon.,subjective
The patient reports dizziness for the past several months.,subjective
States feeling weak after waking up.,subjective
Reports dizziness with no known trigger.,subjective
Complains of headache worsening over 2 days.,subjective
Reports dizziness with no known trigger.,subjective
Reports joint pain with no known trigger.,subjective
Describes headache and headache occurring mostly in the evening.,subjective
Complains of joint pain worsening over 3 hours.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the evening.,subjective
Complains of headache worsening over several months.,subjective
The patient reports fatigue for the past since yesterday.,subjective
Complains of dizziness worsening over since yesterday.,subjective
States feeling weak after waking up.,subjective
The patient reports headache for the past a few minutes.,subjective
Reports joint pain with no known trigger.,subjective
Complains of joint pain worsening over since yesterday.,subjective
The patient reports nausea for the past 1 week.,subjective
Reports joint pain with no known trigger.,subjective
Complains of headache worsening over since yesterday.,subjective
Complains of fatigue worsening over 3 hours.,subjective
The patient reports joint pain for the past since yesterday.,subjective
Reports joint pain with no known trigger.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the evening.,subjective
Reports nausea with no known trigger.,subjective
Complains of headache worsening over a few minutes.,subjective
Complains of fatigue worsening over 1 week.,subjective
The patient reports joint pain for the past several months.,subjective
States feeling tired after waking up.,subjective
Complains of fatigue worsening over several months.,subjective
Reports dizziness with no known trigger.,subjective
Reports shortness of breath with no known trigger.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the evening.,subjective
Reports shortness of breath with no known trigger.,subjective
The patient reports dizziness for the past 3 hours.,subjective
Describes nausea and nausea occurring mostly in the evening.,subjective
Describes headache and headache occurring mostly in the morning.,subjective
The patient reports shortness of breath for the past 1 week.,subjective
Complains of dizziness worsening over several months.,subjective
States feeling weak after exercise.,subjective
The patient reports fatigue for the past 1 week.,subjective
Complains of joint pain worsening over several months.,subjective
Reports headache with no known trigger.,subjective
States feeling tired after climbing stairs.,subjective
States feeling dizzy after long walks.,subjective
Complains of shortness of breath worsening over 2 days.,subjective
Reports headache with no known trigger.,subjective
States feeling weak after waking up.,subjective
Complains of shortness of breath worsening over 3 hours.,subjective
Describes fatigue and fatigue occurring mostly in the night.,subjective
The patient reports joint pain for the past 1 week.,subjective
States feeling anxious after eating.,subjective
Describes dizziness and dizziness occurring mostly in the evening.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
The patient reports headache for the past since yesterday.,subjective
The patient reports joint pain for the past since yesterday.,subjective
The patient reports fatigue for the past 3 hours.,subjective
The patient reports fatigue for the past several months.,subjective
States feeling numb after long walks.,subjective
Complains of dizziness worsening over several months.,subjective
Describes dizziness and dizziness occurring mostly in the afternoon.,subjective
The patient reports headache for the past 2 days.,subjective
States feeling tired after exercise.,subjective
Describes dizziness and dizziness occurring mostly in the evening.,subjective
Complains of fatigue worsening over a few minutes.,subjective
Complains of fatigue worsening over several months.,subjective
The patient reports headache for the past 1 week.,subjective
Complains of fatigue worsening over several months.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
Reports joint pain with no known trigger.,subjective
Reports joint pain with no known trigger.,subjective
Describes joint pain and joint pain occurring mostly in the evening.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
Reports joint pain with no known trigger.,subjective
States feeling weak after exercise.,subjective
Complains of dizziness worsening over 1 week.,subjective
Complains of fatigue worsening over 2 days.,subjective
The patient reports nausea for the past 1 week.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the afternoon.,subjective
Reports shortness of breath with no known trigger.,subjective
The patient reports dizziness for the past several months.,subjective
Reports dizziness with no known trigger.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
Describes joint pain and joint pain occurring mostly in the night.,subjective
States feeling weak after long walks.,subjective
States feeling dizzy after eating.,subjective
Complains of joint pain worsening over 2 days.,subjective
The patient reports headache for the past 1 week.,subjective
States feeling dizzy after eating.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the afternoon.,subjective
States feeling anxious after exercise.,subjective
The patient reports fatigue for the past 3 hours.,subjective
The patient reports fatigue for the past 3 hours.,subjective
Describes headache and headache occurring mostly in the morning.,subjective
Complains of nausea worsening over several months.,subjective
Describes joint pain and joint pain occurring mostly in the afternoon.,subjective
The patient reports fatigue for the past a few minutes.,subjective
The patient reports fatigue for the past 1 week.,subjective
Complains of nausea worsening over 3 hours.,subjective
The patient reports nausea for the past several months.,subjective
Complains of fatigue worsening over 1 week.,subjective
The patient reports shortness of breath for the past 1 week.,subjective
Complains of nausea worsening over 3 hours.,subjective
Complains of dizziness worsening over 1 week.,subjective
States feeling tired after eating.,subjective
The patient reports dizziness for the past 2 days.,subjective
Reports dizziness with no known trigger.,subjective
Describes nausea and nausea occurring mostly in the afternoon.,subjective
Reports nausea with no known trigger.,subjective
States feeling numb after exercise.,subjective
Reports fatigue with no known trigger.,subjective
Complains of joint pain worsening over 3 hours.,subjective
Reports headache with no known trigger.,subjective
Complains of nausea worsening over 1 week.,subjective
Reports headache with no known trigger.,subjective
Reports shortness of breath with no known trigger.,subjective
Complains of headache worsening over 2 days.,subjective
Complains of dizziness worsening over since yesterday.,subjective
States feeling anxious after long walks.,subjective
Reports dizziness with no known trigger.,subjective
Describes nausea and nausea occurring mostly in the night.,subjective
Complains of joint pain worsening over since yesterday.,subjective
The patient reports joint pain for the past 1 week.,subjective
The patient reports headache for the past 3 hours.,subjective
Describes nausea and nausea occurring mostly in the morning.,subjective
States feeling anxious after eating.,subjective
States feeling anxious after waking up.,subjective
States feeling dizzy after exercise.,subjective
The patient reports dizziness for the past 2 days.,subjective
Describes headache and headache occurring mostly in the evening.,subjective
The patient reports nausea for the past 3 hours.,subjective
Reports headache with no known trigger.,subjective
States feeling numb after exercise.,subjective
States feeling weak after exercise.,subjective
Describes nausea and nausea occurring mostly in the evening.,subjective
The patient reports nausea for the past 1 week.,subjective
Complains of fatigue worsening over several months.,subjective
Reports headache with no known trigger.,subjective
Reports joint pain with no known trigger.,subjective
The patient reports nausea for the past a few minutes.,subjective
States feeling tired after eating.,subjective
Complains of fatigue worsening over a few minutes.,subjective
Reports joint pain with no known trigger.,subjective
States feeling dizzy after eating.,subjective
Reports shortness of breath with no known trigger.,subjective
States feeling numb after exercise.,subjective
The patient reports headache for the past 3 hours.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the morning.,subjective
States feeling weak after exercise.,subjective
States feeling dizzy after long walks.,subjective
Reports joint pain with no known trigger.,subjective
The patient reports fatigue for the past 3 hours.,subjective
Reports headache with no known trigger.,subjective
Describes fatigue and fatigue occurring mostly in the morning.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the night.,subjective
Reports joint pain with no known trigger.,subjective
Complains of dizziness worsening over several months.,subjective
The patient reports headache for the past 2 days.,subjective
States feeling dizzy after long walks.,subjective
Describes nausea and nausea occurring mostly in the morning.,subjective
Reports dizziness with no known trigger.,subjective
The patient reports shortness of breath for the past since yesterday.,subjective
Describes joint pain and joint pain occurring mostly in the afternoon.,subjective
Describes headache and headache occurring mostly in the morning.,subjective
The patient reports dizziness for the past 2 days.,subjective
Describes dizziness and dizziness occurring mostly in the evening.,subjective
The patient reports dizziness for the past since yesterday.,subjective
Complains of fatigue worsening over 3 hours.,subjective
Describes fatigue and fatigue occurring mostly in the morning.,subjective
States feeling dizzy after climbing stairs.,subjective
The patient reports joint pain for the past since yesterday.,subjective
Reports dizziness with no known trigger.,subjective
Complains of dizziness worsening over several months.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the night.,subjective
The patient reports joint pain for the past several months.,subjective
Reports dizziness with no known trigger.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
States feeling dizzy after climbing stairs.,subjective
Complains of dizziness worsening over since yesterday.,subjective
States feeling dizzy after waking up.,subjective
States feeling dizzy after long walks.,subjective
States feeling anxious after climbing stairs.,subjective
Describes joint pain and joint pain occurring mostly in the morning.,subjective
The patient reports joint pain for the past a few minutes.,subjective
Reports joint pain with no known trigger.,subjective
States feeling dizzy after exercise.,subjective
Describes nausea and nausea occurring mostly in the evening.,subjective
The patient reports dizziness for the past 1 week.,subjective
Complains of fatigue worsening over a few minutes.,subjective
Reports fatigue with no known trigger.,subjective
The patient reports fatigue for the past 2 days.,subjective
The patient reports dizziness for the past 2 days.,subjective
The patient reports fatigue for the past several months.,subjective
States feeling tired after exercise.,subjective
Complains of headache worsening over 3 hours.,subjective
Reports joint pain with no known trigger.,subjective
States feeling dizzy after waking up.,subjective
Reports headache with no known trigger.,subjective
The patient reports shortness of breath for the past 2 days.,subjective
States feeling weak after eating.,subjective
Describes shortness of breath and shortness of breath occurring mostly in the evening.,subjective
Complains of nausea worsening over 2 days.,subjective
States feeling numb after climbing stairs.,subjective
Reports nausea with no known trigger.,subjective
Complains of nausea worsening over 3 hours.,subjective
States feeling numb after climbing stairs.,subjective
Reports headache with no known trigger.,subjective
Reports shortness of breath with no known trigger.,subjective
Reports fatigue with no known trigger.,subjective
States feeling dizzy after eating.,subjective
States feeling dizzy after eating.,subjective
Reports shortness of breath with no known trigger.,subjective
Reports headache with no known trigger.,subjective
States feeling weak after climbing stairs.,subjective
Complains of fatigue worsening over a few minutes.,subjective
Reports dizziness with no known trigger.,subjective
Reports headache with no known trigger.,subjective
Reports dizziness with no known trigger.,subjective
Reports fatigue with no known trigger.,subjective
States feeling dizzy after long walks.,subjective
The patient reports nausea for the past several months.,subjective
Complains of fatigue worsening over several months.,subjective
Describes headache and headache occurring mostly in the morning.,subjective
Describes nausea and nausea occurring mostly in the morning.,subjective
